CommandToCreateUser josh pw josh78; josh:pw:josh78
CommandToCreateUser frank pw1 noShoes12; frank:pw:noShoes12
CommandToSelectUser josh pw;
CommandToMakeFriendRequest <userID> frank;
CommandToGetPendingOutgoingFriendList <userID>; frank
CommandToPersistChanges;
CommandToSelectUser frank pw1;
CommandToGetPendingIncomingFriendList <userID>; josh
CommandToRejectFriendList <userID> josh;
CommandToGetPendingIncomingFriendList <userID>;
CommandToRetrieveFriendList <userID>;
CommandToPersistChanges;
CommandToSelectUser josh pw;
CommandToRetrieveFriendList <userID>;
